Município;Dose;Total Doses Aplicadas;;;
TEODORO SAMPAIO;1° DOSE;4001;;;
TEODORO SAMPAIO;2° DOSE;2053;;;
TERRA ROXA;1° DOSE;1785;;;
TERRA ROXA;2° DOSE;1072;;;
TIETÊ;1° DOSE;7578;;;
TIETÊ;2° DOSE;4000;;;
TIMBURI;1° DOSE;698;;;
TIMBURI;2° DOSE;375;;;
TORRE DE PEDRA;1° DOSE;605;;;
TORRE DE PEDRA;2° DOSE;346;;;
TORRINHA;1° DOSE;2303;;;
TORRINHA;2° DOSE;1210;;;
TRABIJU;1° DOSE;367;;;
TRABIJU;2° DOSE;190;;;
TREMEMBÉ;1° DOSE;7805;;;
TREMEMBÉ;2° DOSE;5128;;;
TRÊS FRONTEIRAS;1° DOSE;1530;;;
TRÊS FRONTEIRAS;2° DOSE;872;;;
TUIUTI;1° DOSE;1556;;;
TUIUTI;2° DOSE;707;;;
TUPÃ;1° DOSE;16803;;;
TUPÃ;2° DOSE;9766;;;
TUPI PAULISTA;1° DOSE;4142;;;
TUPI PAULISTA;2° DOSE;2399;;;
TURIÚBA;1° DOSE;561;;;
TURIÚBA;2° DOSE;299;;;
TURMALINA;1° DOSE;684;;;
TURMALINA;2° DOSE;366;;;
UBARANA;1° DOSE;885;;;
UBARANA;2° DOSE;482;;;
UBATUBA;1° DOSE;13350;;;
UBATUBA;2° DOSE;7187;;;
UBIRAJARA;1° DOSE;972;;;
UBIRAJARA;2° DOSE;526;;;
UCHOA;1° DOSE;2334;;;
UCHOA;2° DOSE;1327;;;
UNIÃO PAULISTA;1° DOSE;357;;;
UNIÃO PAULISTA;2° DOSE;207;;;
URÂNIA;1° DOSE;2396;;;
URÂNIA;2° DOSE;1339;;;
URU;1° DOSE;373;;;
URU;2° DOSE;190;;;
URUPÊS;1° DOSE;3268;;;
URUPÊS;2° DOSE;1751;;;
VALENTIM GENTIL;1° DOSE;2316;;;
VALENTIM GENTIL;2° DOSE;1173;;;
VALINHOS;1° DOSE;24656;;;
VALINHOS;2° DOSE;12400;;;
VALPARAÍSO;1° DOSE;3707;;;
VALPARAÍSO;2° DOSE;2212;;;
VARGEM;1° DOSE;2026;;;
VARGEM;2° DOSE;1074;;;
VARGEM GRANDE DO SUL;1° DOSE;8868;;;
VARGEM GRANDE DO SUL;2° DOSE;4704;;;
VARGEM GRANDE PAULISTA;1° DOSE;7137;;;
VARGEM GRANDE PAULISTA;2° DOSE;3115;;;
VÁRZEA PAULISTA;1° DOSE;12651;;;
VÁRZEA PAULISTA;2° DOSE;7876;;;
VERA CRUZ;1° DOSE;2534;;;
VERA CRUZ;2° DOSE;1440;;;
VINHEDO;1° DOSE;13320;;;
VINHEDO;2° DOSE;7112;;;
VIRADOURO;1° DOSE;3517;;;
VIRADOURO;2° DOSE;1646;;;
VISTA ALEGRE DO ALTO;1° DOSE;1280;;;
VISTA ALEGRE DO ALTO;2° DOSE;718;;;
VITÓRIA BRASIL;1° DOSE;456;;;
VITÓRIA BRASIL;2° DOSE;258;;;
VOTORANTIM;1° DOSE;18112;;;
VOTORANTIM;2° DOSE;9672;;;
VOTUPORANGA;1° DOSE;23089;;;
VOTUPORANGA;2° DOSE;14061;;;
ZACARIAS;1° DOSE;621;;;
ZACARIAS;2° DOSE;315;;;
